No,Country,City,Site name,Location,Start date,End date,Sample name,Sampling days,"Sampling volume, m3",Identified mass,NAP,ACY,ACE,FLU,PHE,ANT,FLA,PYR,BaA,CHR,BbF,BkF,BaP,DahA,InD,DghiP,Concentration,NAP,ACY,ACE,FLU,PHE,ANT,FLA,PYR,BaA,CHR,BbF,BkF,BaP,DahA,InD,DghiP,16PAHs,,,,,,,,,,,,,,,,,,,,
32,Bangladesh,Dhaka,C1-7,BD-C1-7(Akrain Bazer),2018-03-27,2018-06-13,SCP-82,78,273,,20.58 ,3.45 ,20.31 ,30.24 ,212.62 ,23.64 ,218.73 ,185.13 ,21.77 ,27.13 ,101.81 ,4.54 ,7.17 ,4.93 ,0.54 ,4.15 ,,0.15 ,0.03 ,0.15 ,0.22 ,1.56 ,0.17 ,1.60 ,1.36 ,0.16 ,0.20 ,0.75 ,0.03 ,0.05 ,0.04 ,0.00 ,0.03 ,6.50 ,,,,,,,,,,,,,,,,,,,,
33,Bangladesh,Dhaka,C1-8,"BD-C1-8(JJK, Gazipur)",2018-03-24,2018-07-20,SCP-83,118,413,,18.68 ,3.38 ,7.14 ,12.82 ,98.64 ,3.66 ,168.61 ,118.19 ,11.25 ,32.08 ,49.74 ,4.78 ,8.80 ,8.39 ,0.59 ,4.73 ,,0.09 ,0.02 ,0.03 ,0.06 ,0.48 ,0.02 ,0.82 ,0.57 ,0.05 ,0.16 ,0.24 ,0.02 ,0.04 ,0.04 ,0.00 ,0.02 ,2.67 ,,,,,,,,,,,,,,,,,,,,
34,Bangladesh,Chittagong,C2-1,BD-C2-1(Old Ship mosque),2018-03-23,2018-07-14,SCP-84,113,395.5,,18.60 ,2.63 ,5.83 ,22.05 ,182.44 ,19.74 ,683.34 ,434.64 ,108.94 ,177.35 ,215.33 ,21.59 ,35.07 ,19.79 ,3.24 ,15.00 ,,0.09 ,0.01 ,0.03 ,0.11 ,0.92 ,0.10 ,3.46 ,2.20 ,0.55 ,0.90 ,1.09 ,0.11 ,0.18 ,0.10 ,0.02 ,0.08 ,9.94 ,,,,,,,,,,,,,,,,,,,,
35,Bangladesh,Chittagong,C2-2,BD-C2-2(Old Ship Breaking Yard,2018-03-23,2018-07-14,SCP-85,113,395.5,,19.11 ,3.40 ,10.29 ,23.93 ,184.80 ,23.23 ,734.15 ,467.41 ,137.38 ,206.43 ,322.04 ,40.36 ,70.53 ,47.06 ,8.29 ,35.11 ,,0.10 ,0.02 ,0.05 ,0.12 ,0.93 ,0.12 ,3.71 ,2.36 ,0.69 ,1.04 ,1.63 ,0.20 ,0.36 ,0.24 ,0.04 ,0.18 ,11.80 ,,,,,,,,,,,,,,,,,,,,
36,Bangladesh,Chittagong,C2-3,Bd-C2-3(Chittagong Chemical),2018-03-23,2018-07-14,SCP-86,113,395.5,,17.71 ,2.14 ,6.62 ,11.96 ,96.02 ,6.10 ,116.90 ,102.10 ,11.24 ,15.75 ,80.53 ,2.72 ,6.85 ,3.68 ,0.53 ,3.50 ,,0.09 ,0.01 ,0.03 ,0.06 ,0.49 ,0.03 ,0.59 ,0.52 ,0.06 ,0.08 ,0.41 ,0.01 ,0.03 ,0.02 ,0.00 ,0.02 ,2.45 ,,,,,,,,,,,,,,,,,,,,
37,Bangladesh,Chittagong,C2-4,BD-C2-4(PHP)SONAICHARI,2018-03-23,2018-07-14,SCP-87,113,395.5,,26.26 ,9.45 ,15.59 ,32.62 ,204.97 ,28.97 ,290.73 ,243.22 ,36.09 ,41.58 ,41.80 ,2.59 ,4.25 ,2.18 ,0.19 ,1.60 ,,0.13 ,0.05 ,0.08 ,0.16 ,1.04 ,0.15 ,1.47 ,1.23 ,0.18 ,0.21 ,0.21 ,0.01 ,0.02 ,0.01 ,0.00 ,0.01 ,4.97 ,,,,,,,,,,,,,,,,,,,,
38,Bangladesh,Chittagong,C2-5,BD-C2-5(Chittagopng GK)city,2018-03-23,2018-07-14,SCP-88,113,395.5,,31.64 ,2.69 ,6.79 ,12.63 ,130.69 ,8.18 ,264.89 ,206.72 ,28.62 ,54.59 ,217.72 ,68.51 ,16.06 ,18.70 ,1.32 ,9.76 ,,0.16 ,0.01 ,0.03 ,0.06 ,0.66 ,0.04 ,1.34 ,1.05 ,0.14 ,0.28 ,1.10 ,0.35 ,0.08 ,0.09 ,0.01 ,0.05 ,5.46 ,,,,,,,,,,,,,,,,,,,,
39,Bangladesh,khulna,C3-1,BD+DC-3(lobonchora),2018-04-13,2018-06-29,SCP-89,77,269.5,,20.02 ,3.12 ,5.91 ,11.56 ,85.95 ,8.09 ,81.14 ,77.02 ,8.76 ,12.78 ,5.72 ,1.82 ,2.61 ,1.48 ,0.25 ,1.36 ,,0.15 ,0.02 ,0.04 ,0.09 ,0.64 ,0.06 ,0.60 ,0.57 ,0.06 ,0.09 ,0.04 ,0.01 ,0.02 ,0.01 ,0.00 ,0.01 ,2.43 ,,,,,,,,,,,,,,,,,,,,
40,Bangladesh,khulna,C3-2,BD+DC-3(SONADANGA),2018-04-13,2018-06-29,SCP-90,77,269.5,,26.22 ,5.71 ,9.73 ,20.26 ,144.10 ,13.57 ,178.21 ,145.63 ,21.06 ,31.42 ,14.07 ,2.77 ,4.19 ,2.24 ,0.55 ,1.82 ,,0.19 ,0.04 ,0.07 ,0.15 ,1.07 ,0.10 ,1.32 ,1.08 ,0.16 ,0.23 ,0.10 ,0.02 ,0.03 ,0.02 ,0.00 ,0.01 ,4.61 ,,,,,,,,,,,,,,,,,,,,
41,Bangladesh,Khulna,C3-3,BD+DC(Khulna University),2018-04-13,2018-06-29,SCP-91,77,269.5,,23.60 ,1.43 ,5.11 ,9.71 ,69.52 ,3.02 ,68.10 ,56.99 ,6.10 ,8.74 ,37.33 ,1.80 ,3.53 ,0.54 ,0.19 ,1.38 ,,0.18 ,0.01 ,0.04 ,0.07 ,0.52 ,0.02 ,0.51 ,0.42 ,0.05 ,0.06 ,0.28 ,0.01 ,0.03 ,0.00 ,0.00 ,0.01 ,2.20 ,,,,,,,,,,,,,,,,,,,,
